direction,profile,program_code,vuz,faculty,exams,scores,forms
Менеджмент,Логистика и управление цепями поставок,38.03.02,ИрГУПС,"Факультет менеджмента, логистики и таможенного дела","[['РЯ'], ['M'], ['ИЯ', 'О']]",[],"[{'education_form2': 'Очная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': 'no data', 'olympic': 'no data', 'price': -166300}]"
Управление персоналом,Управление персоналом организации,38.03.03,ИрГУПС,"Факультет менеджмента, логистики и таможенного дела","[['РЯ'], ['M'], ['Г', 'О']]",[],"[{'education_form2': 'Очная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': 'no data', 'olympic': 'no data', 'price': -166300}]"
Государственное и муниципальное управление,Без профиля,38.03.04,ИрГУПС,"Факультет менеджмента, логистики и таможенного дела","[['РЯ'], ['ИКТ'], ['И', 'О']]",[],"[{'education_form2': 'Очная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': 'no data', 'olympic': 'no data', 'price': -166300}]"
Информационная безопасность автоматизированных систем,Безопасность открытых автоматизированных систем,10.05.03,ИрГУПС,Факультет управления на транспорте и информационных технологий,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]","[['146', 'очно']]","[{'education_form2': 'Очная', 'score': '146', 'free_places': '25', 'average_score': '190', 'olympic': 'no data', 'price': -190200}]"
Наземные транспортно-технологические средства,Без профиля,23.05.01,ИрГУПС,Факультет систем обеспечения транспорта,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]",[],"[{'education_form2': 'Заочная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': 'no data', 'olympic': 'no data', 'price': -88050}]"
Подвижной состав железных дорог,Грузовые вагоны,23.05.03,ИрГУПС,Факультет транспортных систем,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]","[['118', 'очно'], ['156', 'заоч.']]","[{'education_form2': 'Очная', 'score': '118', 'free_places': '25', 'average_score': '138', 'olympic': 'no data', 'price': -190200}, {'education_form2': 'Заочная', 'score': '156', 'free_places': '15', 'average_score': '138', 'olympic': 'no data', 'price': -88050}]"
Подвижной состав железных дорог,Электрический транспорт железных дорог,23.05.03,ИрГУПС,Факультет транспортных систем,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]","[['110', 'очно'], ['177', 'заоч.']]","[{'education_form2': 'Очная', 'score': '110', 'free_places': '50', 'average_score': '157', 'olympic': 'no data', 'price': -190200}, {'education_form2': 'Заочная', 'score': '177', 'free_places': '20', 'average_score': '157', 'olympic': 'no data', 'price': -88050}]"
Эксплуатация железных дорог,Магистральный транспорт,23.05.04,ИрГУПС,Факультет управления на транспорте и информационных технологий,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]","[['137', 'очно'], ['188', 'заоч.']]","[{'education_form2': 'Очная', 'score': '137', 'free_places': '50', 'average_score': '171', 'olympic': 'no data', 'price': -190200}, {'education_form2': 'Заочная', 'score': '188', 'free_places': '20', 'average_score': '171', 'olympic': 'no data', 'price': -88050}]"
Эксплуатация железных дорог,Грузовая и коммерческая работа,23.05.04,ИрГУПС,Факультет управления на транспорте и информационных технологий,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]","[['115', 'очно'], ['163', 'заоч.']]","[{'education_form2': 'Очная', 'score': '115', 'free_places': '25', 'average_score': '147', 'olympic': 'no data', 'price': -190200}, {'education_form2': 'Заочная', 'score': '163', 'free_places': '15', 'average_score': '147', 'olympic': 'no data', 'price': -88050}]"
Системы обеспечения движения поездов,Электроснабжение железных дорог,23.05.05,ИрГУПС,Факультет систем обеспечения транспорта,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]","[['120', 'очно'], ['108', 'заоч.']]","[{'education_form2': 'Очная', 'score': '120', 'free_places': '45', 'average_score': '150', 'olympic': 'no data', 'price': -190200}, {'education_form2': 'Заочная', 'score': '108', 'free_places': '20', 'average_score': '150', 'olympic': 'no data', 'price': -88050}]"
Системы обеспечения движения поездов,Автоматика и телемеханика на ж/д транспорте,23.05.05,ИрГУПС,Факультет систем обеспечения транспорта,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]","[['133', 'очно'], ['118', 'заоч.']]","[{'education_form2': 'Очная', 'score': '133', 'free_places': '25', 'average_score': '161', 'olympic': 'no data', 'price': -190200}, {'education_form2': 'Заочная', 'score': '118', 'free_places': '15', 'average_score': '161', 'olympic': 'no data', 'price': -88050}]"
Системы обеспечения движения поездов,Телекоммуникационные системы и сети ж/д транспорта,23.05.05,ИрГУПС,Факультет систем обеспечения транспорта,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]","[['120', 'очно'], ['146', 'заоч.']]","[{'education_form2': 'Очная', 'score': '120', 'free_places': '40', 'average_score': '141', 'olympic': 'no data', 'price': -190200}, {'education_form2': 'Заочная', 'score': '146', 'free_places': '15', 'average_score': '141', 'olympic': 'no data', 'price': -88050}]"
"Строительство железных дорог, мостов и транспортных тоннелей",Строительство магистральных железных дорог,23.05.06,ИрГУПС,Факультет строительства железных дорог,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]","[['111', 'очно'], ['206', 'заоч.']]","[{'education_form2': 'Очная', 'score': '111', 'free_places': '25', 'average_score': '140', 'olympic': 'no data', 'price': -190200}, {'education_form2': 'Заочная', 'score': '206', 'free_places': '10', 'average_score': '140', 'olympic': 'no data', 'price': -88050}]"
"Строительство железных дорог, мостов и транспортных тоннелей",Управление техническим состоянием ж/д пути,23.05.06,ИрГУПС,Факультет строительства железных дорог,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]","[['110', 'очно'], ['191', 'заоч.']]","[{'education_form2': 'Очная', 'score': '110', 'free_places': '45', 'average_score': '140', 'olympic': 'no data', 'price': -190200}, {'education_form2': 'Заочная', 'score': '191', 'free_places': '20', 'average_score': '140', 'olympic': 'no data', 'price': -88050}]"
"Строительство железных дорог, мостов и транспортных тоннелей",Мосты,23.05.06,ИрГУПС,Факультет строительства железных дорог,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]","[['120', 'очно']]","[{'education_form2': 'Очная', 'score': '120', 'free_places': '25', 'average_score': '147', 'olympic': 'no data', 'price': -190200}]"
Экономическая безопасность,Экономико-правовое обеспечение экономической безопасности,38.05.01,ИрГУПС,Факультет экономики и финансов,"[['РЯ'], ['M'], ['И', 'О']]",[],"[{'education_form2': 'Очная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': 'no data', 'olympic': 'no data', 'price': -170350}, {'education_form2': 'Заочная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': 'no data', 'olympic': 'no data', 'price': -59400}]"
Таможенное дело,Без профиля,38.05.02,ИрГУПС,"Факультет менеджмента, логистики и таможенного дела","[['РЯ'], ['О'], ['ДЭ']]",[],"[{'education_form2': 'Очная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': 'no data', 'olympic': 'no data', 'price': -166300}, {'education_form2': 'Заочная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': 'no data', 'olympic': 'no data', 'price': -83090}]"
Биология,Биоэкология,06.03.01,Иркутский ГАУ,Институт управления природными ресурсами - факультет охотоведения имени В.Н. Скалона,"[['РЯ'], ['Б'], ['M', 'Х']]","[['119', 'очно']]","[{'education_form2': 'Очная', 'score': '119', 'free_places': '21', 'average_score': '160', 'olympic': 'no data', 'price': -167710}, {'education_form2': 'Очно-заочная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': '160', 'olympic': 'no data', 'price': -51000}]"
Биология,Охотоведение,06.03.01,Иркутский ГАУ,Институт управления природными ресурсами - факультет охотоведения имени В.Н. Скалона,"[['РЯ'], ['Б'], ['M', 'Х']]","[['114', 'очно']]","[{'education_form2': 'Очная', 'score': '114', 'free_places': '20', 'average_score': '155', 'olympic': 'no data', 'price': -167710}, {'education_form2': 'Очно-заочная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': '155', 'olympic': 'no data', 'price': -51000}]"
Прикладная информатика,Прикладная информатика (в АПК),09.03.03,Иркутский ГАУ,"Институт экономики, управления и прикладной информатики","[['РЯ'], ['M'], ['ИКТ', 'Ф']]","[['121', 'очно']]","[{'education_form2': 'Очная', 'score': '121', 'free_places': '53', 'average_score': '161', 'olympic': 'no data', 'price': -167710}, {'education_form2': 'Заочная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': '161', 'olympic': 'no data', 'price': -40000}]"
Теплоэнергетика и теплотехника,Энергообеспечение предприятий,13.03.01,Иркутский ГАУ,Энергетический факультет,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]","[['102', 'очно'], ['128', 'заоч.']]","[{'education_form2': 'Очная', 'score': '102', 'free_places': '30', 'average_score': '135', 'olympic': 'no data', 'price': -167710}, {'education_form2': 'Заочная', 'score': '128', 'free_places': '20', 'average_score': '135', 'olympic': 'no data', 'price': -45000}]"
Электроэнергетика и электротехника,Электроснабжение,13.03.02,Иркутский ГАУ,Энергетический факультет,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]","[['125', 'очно'], ['115', 'заоч.']]","[{'education_form2': 'Очная', 'score': '125', 'free_places': '30', 'average_score': '153', 'olympic': 'no data', 'price': -167710}, {'education_form2': 'Заочная', 'score': '115', 'free_places': '44', 'average_score': '153', 'olympic': 'no data', 'price': -45000}]"
Землеустройство и кадастры,Кадастр недвижимости,21.03.02,Иркутский ГАУ,Агрономический факультет,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]","[['155', 'очно'], ['170', 'заоч.']]","[{'education_form2': 'Очная', 'score': '155', 'free_places': '15', 'average_score': '187', 'olympic': 'no data', 'price': -202400}, {'education_form2': 'Заочная', 'score': '170', 'free_places': '30', 'average_score': '187', 'olympic': 'no data', 'price': -45000}]"
Эксплуатация транспортно-технологических машин и комплексов,Автомобили и автомобильное хозяйство,23.03.03,Иркутский ГАУ,Инженерный факультет,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]","[['116', 'очно'], ['128', 'заоч.']]","[{'education_form2': 'Очная', 'score': '116', 'free_places': '50', 'average_score': '150', 'olympic': 'no data', 'price': -167710}, {'education_form2': 'Заочная', 'score': '128', 'free_places': '50', 'average_score': '150', 'olympic': 'no data', 'price': -45000}]"
Лесное дело,Без профиля,35.03.01,Иркутский ГАУ,Институт управления природными ресурсами - факультет охотоведения имени В.Н. Скалона,"[['РЯ'], ['M'], ['Б', 'Ф']]","[['113', 'очно'], ['140', 'заоч.']]","[{'education_form2': 'Очная', 'score': '113', 'free_places': '20', 'average_score': '147', 'olympic': 'no data', 'price': -167710}, {'education_form2': 'Заочная', 'score': '140', 'free_places': '25', 'average_score': '147', 'olympic': 'no data', 'price': -45000}]"
Агрохимия и агропочвоведение,Агроэкология,35.03.03,Иркутский ГАУ,Агрономический факультет,"[['РЯ'], ['Б'], ['M', 'Ф']]","[['111', 'очно']]","[{'education_form2': 'Очная', 'score': '111', 'free_places': '15', 'average_score': '156', 'olympic': 'no data', 'price': -167710}, {'education_form2': 'Заочная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': '156', 'olympic': 'no data', 'price': -40000}]"
Агрономия,Технология производства продукции растениеводства,35.03.04,Иркутский ГАУ,Агрономический факультет,"[['РЯ'], ['Б'], ['M', 'Ф']]","[['120', 'очно'], ['106', 'заоч.']]","[{'education_form2': 'Очная', 'score': '120', 'free_places': '20', 'average_score': '157', 'olympic': 'no data', 'price': -167710}, {'education_form2': 'Заочная', 'score': '106', 'free_places': '20', 'average_score': '157', 'olympic': 'no data', 'price': -40000}]"
Агроинженерия,Технические системы в агробизнесе,35.03.06,Иркутский ГАУ,Инженерный факультет,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]","[['113', 'очно'], ['121', 'заоч.']]","[{'education_form2': 'Очная', 'score': '113', 'free_places': '20', 'average_score': '139', 'olympic': 'no data', 'price': -167710}, {'education_form2': 'Заочная', 'score': '121', 'free_places': '15', 'average_score': '139', 'olympic': 'no data', 'price': -40000}]"
Агроинженерия,Технический сервис в АПК,35.03.06,Иркутский ГАУ,Инженерный факультет,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]","[['107', 'очно'], ['121', 'заоч.']]","[{'education_form2': 'Очная', 'score': '107', 'free_places': '20', 'average_score': '137', 'olympic': 'no data', 'price': -167710}, {'education_form2': 'Заочная', 'score': '121', 'free_places': '15', 'average_score': '137', 'olympic': 'no data', 'price': -40000}]"
Агроинженерия,Электрооборудование и электротехнологии в АПК,35.03.06,Иркутский ГАУ,Энергетический факультет,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]","[['110', 'очно'], ['124', 'заоч.']]","[{'education_form2': 'Очная', 'score': '110', 'free_places': '30', 'average_score': '148', 'olympic': 'no data', 'price': -167710}, {'education_form2': 'Заочная', 'score': '124', 'free_places': '30', 'average_score': '148', 'olympic': 'no data', 'price': -40000}]"
Технология производства и переработки сельскохозяйственной продукции,Технология хранения и переработки продукции животноводства,35.03.07,Иркутский ГАУ,Факультет биотехнологии и ветеринарной медицины,"[['РЯ'], ['Б'], ['M', 'Х']]","[['108', 'очно'], ['116', 'заоч.']]","[{'education_form2': 'Очная', 'score': '108', 'free_places': '15', 'average_score': '127', 'olympic': 'no data', 'price': -167710}, {'education_form2': 'Заочная', 'score': '116', 'free_places': '10', 'average_score': '127', 'olympic': 'no data', 'price': -40000}]"
Водные биоресурсы и аквакультура,Рыбоохрана и рыбоводство,35.03.08,Иркутский ГАУ,Институт управления природными ресурсами - факультет охотоведения имени В.Н. Скалона,"[['РЯ'], ['Б'], ['M', 'Х']]","[['119', 'очно']]","[{'education_form2': 'Очная', 'score': '119', 'free_places': '15', 'average_score': '151', 'olympic': 'no data', 'price': -167710}, {'education_form2': 'Заочная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': '151', 'olympic': 'no data', 'price': -40000}]"
Ландшафтная архитектура,Ландшафтный дизайн,35.03.10,Иркутский ГАУ,Агрономический факультет,"[['РЯ'], ['M'], ['Б', 'Ф']]","[['109', 'очно'], ['121', 'заоч.']]","[{'education_form2': 'Очная', 'score': '109', 'free_places': '25', 'average_score': '151', 'olympic': 'no data', 'price': -167710}, {'education_form2': 'Заочная', 'score': '121', 'free_places': '19', 'average_score': '151', 'olympic': 'no data', 'price': -40000}]"
Ветеринарно-санитарная экспертиза,Без профиля,36.03.01,Иркутский ГАУ,Факультет биотехнологии и ветеринарной медицины,"[['РЯ'], ['Б'], ['M', 'Х']]","[['99', 'очно'], ['109', 'заоч.']]","[{'education_form2': 'Очная', 'score': '99', 'free_places': '30', 'average_score': '139', 'olympic': 'no data', 'price': -167710}, {'education_form2': 'Заочная', 'score': '109', 'free_places': '25', 'average_score': '139', 'olympic': 'no data', 'price': -45000}]"
Зоотехния,Селекция,36.03.02,Иркутский ГАУ,Факультет биотехнологии и ветеринарной медицины,"[['РЯ'], ['Б'], ['M', 'Х']]","[['106', 'очно'], ['108', 'заоч.']]","[{'education_form2': 'Очная', 'score': '106', 'free_places': '15', 'average_score': '131', 'olympic': 'no data', 'price': -167710}, {'education_form2': 'Заочная', 'score': '108', 'free_places': '20', 'average_score': '131', 'olympic': 'no data', 'price': -40000}]"
Экономика,Бухгалтерский учет и статистика,38.03.01,Иркутский ГАУ,"Институт экономики, управления и прикладной информатики","[['РЯ'], ['M'], ['И', 'О']]",[],"[{'education_form2': 'Очная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': 'no data', 'olympic': 'no data', 'price': -146700}, {'education_form2': 'Заочная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': 'no data', 'olympic': 'no data', 'price': -45000}, {'education_form2': 'Очно-заочная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': 'no data', 'olympic': 'no data', 'price': -51000}]"
Менеджмент,Управление проектами,38.03.02,Иркутский ГАУ,"Институт экономики, управления и прикладной информатики","[['РЯ'], ['M'], ['И', 'О']]",[],"[{'education_form2': 'Очная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': 'no data', 'olympic': 'no data', 'price': -146700}, {'education_form2': 'Заочная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': 'no data', 'olympic': 'no data', 'price': -45000}, {'education_form2': 'Очно-заочная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': 'no data', 'olympic': 'no data', 'price': -51000}]"
Профессиональное обучение (по отраслям),Сельское и рыбное хозяйство,44.05.04,Иркутский ГАУ,Инженерный факультет,"[['РЯ'], ['M'], ['О', 'Ф']]",[],"[{'education_form2': 'Очная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': 'no data', 'olympic': 'no data', 'price': -146700}, {'education_form2': 'Заочная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': 'no data', 'olympic': 'no data', 'price': -40000}]"
Ветеринария,Болезни мелких домашних животных и зоокультуры,36.05.01,Иркутский ГАУ,Факультет биотехнологии и ветеринарной медицины,"[['РЯ'], ['Б'], ['M', 'Х']]","[['141', 'очно'], ['182', 'заоч.']]","[{'education_form2': 'Очная', 'score': '141', 'free_places': '40', 'average_score': '180', 'olympic': 'no data', 'price': -167710}, {'education_form2': 'Заочная', 'score': '182', 'free_places': '14', 'average_score': '180', 'olympic': 'no data', 'price': -45000}, {'education_form2': 'Очно-заочная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': '180', 'olympic': 'no data', 'price': -51000}]"
Экономическая безопасность,Экономико-правовое обеспечение экономической безопасности,38.05.01,Иркутский ГАУ,"Институт экономики, управления и прикладной информатики","[['РЯ'], ['M'], ['Г', 'О']]",[],"[{'education_form2': 'Очная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': 'no data', 'olympic': 'no data', 'price': -146700}, {'education_form2': 'Заочная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': 'no data', 'olympic': 'no data', 'price': -45000}]"
Экономика,Без профиля,38.03.01,КАГМС,"Кафедра экономической теории, регионалистики и правового регулирования экономики","[['РЯ'], ['M'], ['И', 'О']]","[['144', 'очно']]","[{'education_form2': 'Очная', 'score': '144', 'free_places': '19', 'average_score': '202', 'olympic': 'no data', 'price': -117000}, {'education_form2': 'Очно-заочная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': '202', 'olympic': 'no data', 'price': -48000}]"
Государственное и муниципальное управление,Без профиля,38.03.04,КАГМС,"Кафедра государственного, муниципального управления и права","[['РЯ'], ['M'], ['И', 'О']]","[['124', 'очно']]","[{'education_form2': 'Очная', 'score': '124', 'free_places': '19', 'average_score': '194', 'olympic': 'no data', 'price': -117000}, {'education_form2': 'Очно-заочная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': '194', 'olympic': 'no data', 'price': -48000}]"
Юриспруденция,Без профиля,40.03.01,КАГМС,"Кафедра государственного, муниципального управления и права","[['РЯ'], ['О'], ['ИЯ', 'И']]","[['218', 'очно']]","[{'education_form2': 'Очная', 'score': '218', 'free_places': '10', 'average_score': '240', 'olympic': 'no data', 'price': -117000}, {'education_form2': 'Очно-заочная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': '240', 'olympic': 'no data', 'price': -50000}]"
Таможенное дело,Без профиля,38.05.02,КАГМС,"Кафедра внешнеэкономических связей, таможенного дела и таможенного права","[['РЯ'], ['О'], ['ДЭ']]","[['200', 'очно']]","[{'education_form2': 'Очная', 'score': '200', 'free_places': '18', 'average_score': '235', 'olympic': 'no data', 'price': -117000}, {'education_form2': 'Заочная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': '235', 'olympic': 'no data', 'price': -41000}]"
Биотехнология,Без профиля,19.03.01,КГАВМ им. Н.Э. Баумана,Факультет биотехнологии и стандартизации,"[['РЯ'], ['M'], ['Б', 'Х']]","[['120', 'очно']]","[{'education_form2': 'Очная', 'score': '120', 'free_places': '8', 'average_score': '154', 'olympic': 'no data', 'price': -177600}]"
Биотехнология,Без профиля,19.03.01,КГАВМ им. Н.Э. Баумана,Факультет дополнительного профессионального и заочного образования,"[['РЯ'], ['M'], ['Б', 'Ф']]","[['127', 'заоч.']]","[{'education_form2': 'Заочная', 'score': '127', 'free_places': '4', 'average_score': 'no data', 'olympic': 'no data', 'price': -34400}]"
Технология производства и переработки сельскохозяйственной продукции,Хранение и переработка сельскохозяйственной продукции,35.03.07,КГАВМ им. Н.Э. Баумана,Факультет дополнительного профессионального и заочного образования,"[['РЯ'], ['Б'], ['M', 'Х']]","[['133', 'заоч.']]","[{'education_form2': 'Заочная', 'score': '133', 'free_places': '10', 'average_score': 'no data', 'olympic': 'no data', 'price': -34400}]"
Технология производства и переработки сельскохозяйственной продукции,Без профиля,35.03.07,КГАВМ им. Н.Э. Баумана,Факультет биотехнологии и стандартизации,"[['РЯ'], ['Б'], ['M', 'Ф']]","[['117', 'очно']]","[{'education_form2': 'Очная', 'score': '117', 'free_places': '29', 'average_score': '130', 'olympic': 'no data', 'price': -177600}]"
Ветеринарно-санитарная экспертиза,Лечебное дело,36.03.01,КГАВМ им. Н.Э. Баумана,Факультет дополнительного профессионального и заочного образования,"[['РЯ'], ['Б'], ['M', 'Х']]","[['152', 'заоч.']]","[{'education_form2': 'Заочная', 'score': '152', 'free_places': '10', 'average_score': 'no data', 'olympic': 'no data', 'price': -34400}]"
Ветеринарно-санитарная экспертиза,Лечебное дело,36.03.01,КГАВМ им. Н.Э. Баумана,Факультет ветеринарной медицины,"[['РЯ'], ['Б'], ['M', 'Ф']]","[['122', 'очно']]","[{'education_form2': 'Очная', 'score': '122', 'free_places': '30', 'average_score': 'no data', 'olympic': 'no data', 'price': -177600}]"
Зоотехния,Без профиля,36.03.02,КГАВМ им. Н.Э. Баумана,Факультет дополнительного профессионального и заочного образования,"[['РЯ'], ['Б'], ['M', 'Х']]","[['125', 'заоч.']]","[{'education_form2': 'Заочная', 'score': '125', 'free_places': '10', 'average_score': 'no data', 'olympic': 'no data', 'price': -34400}]"
Зоотехния,Без профиля,36.03.02,КГАВМ им. Н.Э. Баумана,Факультет биотехнологии и стандартизации,"[['РЯ'], ['Б'], ['M', 'Ф']]","[['119', 'очно']]","[{'education_form2': 'Очная', 'score': '119', 'free_places': '50', 'average_score': '155', 'olympic': '2%', 'price': -177600}]"
Ветеринария,Без профиля,36.05.01,КГАВМ им. Н.Э. Баумана,Факультет дополнительного профессионального и заочного образования,"[['РЯ'], ['Б'], ['M', 'Х']]","[['196', 'заоч.'], ['193', 'вечер.']]","[{'education_form2': 'Заочная', 'score': '196', 'free_places': '20', 'average_score': 'no data', 'olympic': 'no data', 'price': -34400}, {'education_form2': 'Очно-заочная', 'score': '193', 'free_places': '10', 'average_score': 'no data', 'olympic': 'no data', 'price': -60000}]"
Ветеринария,Без профиля,36.05.01,КГАВМ им. Н.Э. Баумана,Факультет ветеринарной медицины,"[['РЯ'], ['Б'], ['M', 'Ф']]","[['162', 'очно']]","[{'education_form2': 'Очная', 'score': '162', 'free_places': '211', 'average_score': '203', 'olympic': '0%', 'price': -177600}]"
Экология и природопользование,Экология,05.03.06,КГАУ,Факультет лесного хозяйства и экологии,"[['РЯ'], ['Г'], ['Б', 'M']]","[['145', 'очно']]","[{'education_form2': 'Очная', 'score': '145', 'free_places': '30', 'average_score': '176', 'olympic': 'no data', 'price': -163157}]"
Прикладная информатика,Проектирование и внедрение информационных систем,09.03.03,КГАУ,Институт экономики,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]","[['237', 'очно']]","[{'education_form2': 'Очная', 'score': '237', 'free_places': '25', 'average_score': '247', 'olympic': 'no data', 'price': -163157}, {'education_form2': 'Заочная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': '247', 'olympic': 'no data', 'price': -58400}]"
Биотехнология,Агропромышленная биотехнология,19.03.01,КГАУ,Институт агробиотехнологий и землепользования,"[['РЯ'], ['M'], ['Б', 'Ф']]","[['151', 'очно']]","[{'education_form2': 'Очная', 'score': '151', 'free_places': '25', 'average_score': '168', 'olympic': 'no data', 'price': -163157}]"
Продукты питания из растительного сырья,"Технология хлеба, кондитерских и макаронных изделий",19.03.02,КГАУ,Институт агробиотехнологий и землепользования,"[['РЯ'], ['M'], ['Б', 'ИКТ']]",[],"[{'education_form2': 'Очная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': 'no data', 'olympic': 'no data', 'price': -163157}]"
Продукты питания животного происхождения,Технология мясных и молочных продуктов,19.03.03,КГАУ,Институт агробиотехнологий и землепользования,"[['РЯ'], ['M'], ['Б', 'Х']]",[],"[{'education_form2': 'Очная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': 'no data', 'olympic': 'no data', 'price': -163157}]"
Техносферная безопасность,Пожарная и промышленная безопасность в чрезвычайных ситуациях,20.03.01,КГАУ,Институт механизации и технического сервиса,"[['РЯ'], ['M'], ['Ф', 'Х']]","[['137', 'очно']]","[{'education_form2': 'Очная', 'score': '137', 'free_places': '30', 'average_score': '156', 'olympic': 'no data', 'price': -163157}]"
Землеустройство и кадастры,Землеустройство,21.03.02,КГАУ,Институт агробиотехнологий и землепользования,"[['РЯ'], ['M'], ['Г', 'Ф']]","[['180', 'очно'], ['149', 'заоч.']]","[{'education_form2': 'Очная', 'score': '180', 'free_places': '25', 'average_score': '208', 'olympic': 'no data', 'price': -194540}, {'education_form2': 'Заочная', 'score': '149', 'free_places': '15', 'average_score': '208', 'olympic': 'no data', 'price': -45400}]"
Эксплуатация транспортно-технологических машин и комплексов,Автомобили и автомобильное хозяйство,23.03.03,КГАУ,Институт механизации и технического сервиса,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]","[['123', 'очно'], ['149', 'заоч.']]","[{'education_form2': 'Очная', 'score': '123', 'free_places': '23', 'average_score': '147', 'olympic': 'no data', 'price': -163157}, {'education_form2': 'Заочная', 'score': '149', 'free_places': '13', 'average_score': '147', 'olympic': 'no data', 'price': -58400}]"
Управление качеством,Управление качеством в производственно-технологических системах,27.03.02,КГАУ,Институт экономики,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]",[],"[{'education_form2': 'Очная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': 'no data', 'olympic': 'no data', 'price': -143929}]"
Лесное дело,Лесное хозяйство,35.03.01,КГАУ,Факультет лесного хозяйства и экологии,"[['РЯ'], ['M'], ['Б', 'Г']]","[['136', 'очно'], ['131', 'заоч.']]","[{'education_form2': 'Очная', 'score': '136', 'free_places': '25', 'average_score': '159', 'olympic': 'no data', 'price': -163157}, {'education_form2': 'Заочная', 'score': '131', 'free_places': '20', 'average_score': '159', 'olympic': 'no data', 'price': -58400}]"
Агрохимия и агропочвоведение,Агроэкология,35.03.03,КГАУ,Институт агробиотехнологий и землепользования,"[['РЯ'], ['Б'], ['M', 'Х']]","[['134', 'очно']]","[{'education_form2': 'Очная', 'score': '134', 'free_places': '25', 'average_score': '158', 'olympic': 'no data', 'price': -163157}]"
Агрономия,Агробизнес и цифровое земледелие,35.03.04,КГАУ,Институт агробиотехнологий и землепользования,"[['РЯ'], ['Б'], ['M', 'Ф']]","[['137', 'очно'], ['140', 'заоч.']]","[{'education_form2': 'Очная', 'score': '137', 'free_places': '25', 'average_score': '177', 'olympic': 'no data', 'price': -163157}, {'education_form2': 'Заочная', 'score': '140', 'free_places': '20', 'average_score': '177', 'olympic': 'no data', 'price': -45400}]"
Агрономия,Селекция и защита растений,35.03.04,КГАУ,Институт агробиотехнологий и землепользования,"[['РЯ'], ['Б'], ['M', 'Х']]","[['137', 'очно']]","[{'education_form2': 'Очная', 'score': '137', 'free_places': '25', 'average_score': '177', 'olympic': 'no data', 'price': -163157}]"
